stop_id,stop_name,stop_latitude,stop_longitude
58424,Beaconsfield / Madsen,45.4189230,-73.8858130
57398,Neptune / Nightingale,45.4470645,-73.7737886
57767,Revcon / Place Frontenac,45.4688604,-73.8286699
58521,Morgan / Westchester,45.4107401,-73.9159326
57829,Selkirk / Transcanadienne,45.4670984,-73.8214318
58582,Gare Sainte-Anne-de-Bellevue,45.4077684,-73.9519385
57642,Cartier / Lanthier,45.4311736,-73.8240492
58382,Saint-Charles / du Barry,45.4578901,-73.8642724
58467,Saint-Charles / Sherbrooke,45.4392574,-73.8491385
57700,Lakeview / Fifth,45.4411348,-73.8055589
58438,Sherbrooke / Fleet,45.4369600,-73.8693670
58537,Rond-point Clark-Graham,45.4166750,-73.9309020
58333,Sainte-Marie / de l'Anse-à-l'Orme,45.4364041,-73.8982815
58261,de Pierrefonds / Louis-Fréchette,45.4669293,-73.8781104
57651,Douglas-Shand / Oakridge,45.4472840,-73.8223690
58392,Transcanadienne / Montrose,45.4436393,-73.8760515
58484,Gare Beaconsfield,45.4352656,-73.8478829
58113,Antoine-Faucon / Saint-Charles,45.4600060,-73.8672063
57717,Delmar / Braebrook,45.4629830,-73.7996120
57850,Sommerset / Roosevelt,45.4676516,-73.8507739
58546,Cruickshank / Firing,45.4270350,-73.9098520
57664,Hymus / Hastings,45.4612710,-73.8174100
58407,Brunswick / Nelligan,45.4504265,-73.8738602
61254,de Pierrefonds / du Château-Pierrefonds,45.4593852,-73.8928602
57739,de la Baie-de-Valois / Mount-Pleasant,45.4515630,-73.7921310
60256,Sherbrooke / Robin,45.4363000,-73.8727330
57730,Broadview / Belmont,45.4527750,-73.7965640
58222,Henri-Daoust / Antoine-Faucon,45.4568858,-73.8727789
57809,Terminus Fairview,45.4652939,-73.8311943
58556,Sainte-Anne / de l'Église,45.4048947,-73.9562101
57615,Hôpital général Lakeshore (Stillview/Sedgefield),45.4494300,-73.8321790
58355,Saint-Charles / Kirkland,45.4479577,-73.8545343
58285,Gouin / de Baubigny,45.4647847,-73.8921405
57681,Hastings / Westcliffe,45.4598530,-73.8127990
57596,des Sources / de l'Aviation,45.4693785,-73.7902506
58417,Beaconsfield / Beaconsfield Court,45.4261620,-73.8595830
57392,Cardinal / Neptune,45.4500453,-73.7741777
57753,Belmont / Chester,45.4558800,-73.7867950
58231,du Château-Pierrefonds / Rousson,45.4591282,-73.8923256
57822,Brunswick / Terminus Fairview,45.4665712,-73.8309269
58575,Sainte-Marie / Meloche,45.4261551,-73.9247692
57628,Brunswick / Revcon,45.4680552,-73.8279580
58368,De Salaberry / Médoc,45.4639466,-73.8511728
58460,Beaconsfield / Fieldsend,45.4286870,-73.8529180
58090,de Pierrefonds / Louis-Fréchette,45.4672352,-73.8780463
57694,Lakeview / Hampton Gardens,45.4402390,-73.8080880
58431,Beaconsfield / Legault,45.4207220,-73.8759210
57770,Cartier / de Val-Soleil,45.4373634,-73.8265112
58520,Lakeshore / No 20551,45.4065453,-73.9203485
60234,Hôpital général Lakeshore (Sedgefield/Stillview),45.4495150,-73.8317450
58386,Hymus / No 16889,45.4498826,-73.8533679
58316,Gouin / No 20392,45.4593780,-73.9243950
58469,Beaconsfield / Kenwood,45.4297590,-73.8494270
58107,Saint-Charles / Maher,45.4622906,-73.8692375
57703,Hymus / Delmar,45.4690958,-73.8048526
58441,Beaconsfield / Harrow,45.4234260,-73.8673780
58540,Clark-Graham / Weco,45.4223819,-73.9155893
61395,de Pierrefonds / Winnie-Wakefield,45.4593607,-73.8935637
57658,Saint-Jean / Douglas-Shand,45.4492216,-73.8177443
58401,Jean-Yves / Transcanadienne,45.4404728,-73.8860335
58483,Gare Beaconsfield,45.4351170,-73.8479596
57792,Saint-Jean / Complexe Pointe-Claire,45.4667455,-73.8280928
60674,Clark-Graham / No 19701,45.4232190,-73.9136840
57607,Labrosse / No 1000,45.4689550,-73.8322140
58349,Brunswick / du Merlot,45.4562874,-73.8610997
57667,Hastings / Newton,45.4606410,-73.8165870
57377,Bord-du-Lac / de l'Église,45.4463774,-73.7803140
57746,Belmont / King,45.4546780,-73.7906600
58498,Lakeshore / Case,45.4052362,-73.9273643
57733,Donegani / Broadview,45.4494160,-73.7953191
